"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 17 16:41:20 PDT 2021","Sat Jul 17 16:41:21 PDT 2021","761","UI Test Suite","Login Tests for Chrome","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","reloginWithClearedCookie","reloginWithClearedCookie",""
"passed","Sat Jul 17 16:41:14 PDT 2021","Sat Jul 17 16:41:15 PDT 2021","517","UI Test Suite","Login Tests for Chrome","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
"passed","Sat Jul 17 16:42:45 PDT 2021","Sat Jul 17 16:42:51 PDT 2021","5562","UI Test Suite","Login Tests for Firefox","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","successfulLogin","successfulLogin",""
"passed","Sat Jul 17 16:41:11 PDT 2021","Sat Jul 17 16:41:12 PDT 2021","554","UI Test Suite","Login Tests for Chrome","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
"passed","Sat Jul 17 16:41:03 PDT 2021","Sat Jul 17 16:41:03 PDT 2021","533","UI Test Suite","Login Tests for Chrome","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
"passed","Sat Jul 17 16:42:13 PDT 2021","Sat Jul 17 16:42:14 PDT 2021","579","UI Test Suite","Login Tests for Firefox","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
"passed","Sat Jul 17 16:42:22 PDT 2021","Sat Jul 17 16:42:23 PDT 2021","628","UI Test Suite","Login Tests for Firefox","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
"passed","Sat Jul 17 16:42:18 PDT 2021","Sat Jul 17 16:42:18 PDT 2021","606","UI Test Suite","Login Tests for Firefox","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
"passed","Sat Jul 17 16:40:49 PDT 2021","Sat Jul 17 16:40:50 PDT 2021","590","UI Test Suite","Login Tests for Chrome","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","emptyCredentialError","emptyCredentialError",""
"passed","Sat Jul 17 16:42:04 PDT 2021","Sat Jul 17 16:42:05 PDT 2021","600","UI Test Suite","Login Tests for Firefox","com.saucedemo.test.LoginPageTests","com.saucedemo.test.LoginPageTests","invalidUsernameOrPassword","invalidUsernameOrPassword",""
